0.2251 0.2823 0.4583
-0.3350 0.3875 0.5144
0.5629 0.2077 0.4587
-0.1508 -0.1095 0.6445
-0.3968 -0.5579 0.5818
0.0990 -0.2474 0.4438
0.0288 0.1342 0.4638
0.1352 0.2230 0.4978
-0.6057 -0.0393 0.3934
0.5676 -0.0711 0.5986
0.2305 0.5665 0.4121
0.3756 -0.8034 0.5978
-0.0171 0.0030 0.4557
-0.1863 0.2711 0.4306
-0.4580 0.0871 0.6084
0.1623 -0.0819 0.5968
-0.0240 0.5761 0.6233
-0.1480 1.0616 0.3588
0.5122 0.4245 0.5444
-0.3228 -1.1291 0.5793
-0.4715 0.1998 0.5020
-0.4212 -0.1245 0.4040
0.3634 -0.3283 0.5260
-0.1099 -0.1096 0.4529
-0.4262 0.3824 0.5790
-0.4033 0.2330 0.4476
-0.3388 0.6438 0.3523
0.1403 -0.1540 0.6334
-0.8483 -0.0821 0.6275
-0.1135 -0.4376 0.5732
-0.2087 0.8149 0.3825
-0.2988 0.4969 0.5699
-0.3891 0.0138 0.4604
0.6466 -0.2168 0.6234
0.4646 -0.2426 0.5084
0.3667 0.4742 0.4287
-0.3959 0.3943 0.3861
0.2552 0.3082 0.5789
-0.2381 -0.5503 0.4187
0.0859 0.1825 0.5324
0.2786 -0.5419 0.5916
-0.5985 0.1974 0.4441
-0.1342 -0.1990 0.4205
0.6076 -0.5021 0.4249
0.7544 0.3148 0.5559
-0.1835 0.2892 0.4957
-0.6863 0.0329 0.3569
0.0373 0.2302 0.4062
0.3183 -0.3477 0.5692
-0.5751 0.1669 0.4284
-0.0035 -0.6577 0.5348
0.4939 -0.3966 0.3583
0.6009 -0.0670 0.6098
-0.0276 -0.0905 0.5037
-0.0385 0.2603 0.5510
-0.3578 -0.1056 0.3580
-0.0608 0.1997 0.6051
-0.3742 0.2105 0.3869
-0.1823 0.0567 0.3830
0.1140 -0.3396 0.4454
-0.0318 -0.3896 0.4792
-1.0747 0.1894 0.4282
0.1795 -0.4713 0.3804
0.0699 0.6202 0.5944
0.0687 0.8594 0.5620
-0.1886 -0.3459 0.6215
0.5199 -0.3498 0.4735
0.1879 1.1446 0.5061
0.1380 -0.4205 0.6128
0.1798 -0.3873 0.6489
0.2444 -0.3060 0.4875
-0.7427 -0.2044 0.4185
-0.3615 0.0069 0.5840
-0.1872 0.5705 0.5932
0.0334 0.0287 0.5254
-0.3616 -0.1546 0.6053
-0.6357 0.0783 0.6277
0.1659 -0.3667 0.4770
0.4372 -0.1725 0.4598
0.2911 -0.4608 0.6064
0.2548 -0.5825 0.6197
-0.1686 -0.0216 0.4595
-0.4026 0.1152 0.6473
0.7592 0.2580 0.5133
-0.6767 0.1562 0.4551
-0.8152 -0.7088 0.6018
0.2544 0.2676 0.3544
0.1867 -0.0787 0.4016
0.4021 0.0706 0.6397
-0.5416 0.0506 0.3797
0.2884 -0.3378 0.3590
-0.1202 -0.0408 0.3845
-0.6025 0.2529 0.3799
-0.8741 0.1885 0.6056
-0.5207 -1.0301 0.3672
-0.1358 0.4201 0.5286
-0.4174 0.0266 0.6480
-0.3852 -0.2185 0.5894
-0.2916 0.4629 0.5577
0.0774 0.0684 0.5558
